country,state,city,latitude,longitude,standard,tz
USA,KY,Frankfort,38.1924,-84.8643,-75,America/New_York
USA,LA,Baton Rouge,30.442,-91.1311,-90,America/Chicago
USA,MA,Boston,42.3188,-71.0852,-75,America/New_York
USA,MD,Annapolis,38.9706,-76.5047,-75,America/New_York
USA,ME,Augusta,33.3645,-82.0708,-75,America/New_York
USA,MI,Lansing,42.7142,-84.5601,-75,America/New_York
USA,MO,Jefferson City,38.5676,-92.1759,-90,America/Chicago
USA,MS,Jackson,32.3157,-90.2125,-90,America/Chicago
USA,MT,Helena,46.5965,-112.0202,-105,America/Denver
USA,NC,Raleigh,35.8324,-78.6429,-75,America/New_York
USA,ND,Bismarck,46.8143,-100.7694,-90,America/Chicago
USA,NE,Lincoln,40.8099,-96.6784,-90,America/Chicago
USA,NH,Concord,37.9722,-122.0016,-120,America/Los_Angeles
USA,NJ,Trenton,40.2237,-74.7641,-75,America/New_York
USA,NM,Santa Fe,35.6619,-105.9819,-105,America/Denver
USA,NV,Carson City,39.1511,-119.7476,-120,America/Los_Angeles
USA,NY,Albany,42.6664,-73.7987,-75,America/New_York
USA,OH,Columbus,39.9862,-82.9855,-75,America/New_York
USA,OK,Oklahoma City,35.4676,-97.5136,-90,America/Chicago
USA,OR,Salem,44.9233,-123.0244,-120,America/Los_Angeles
USA,PA,Harrisburg,40.2752,-76.8843,-75,America/New_York
USA,RI,Providence,41.823,-71.4187,-75,America/New_York
USA,SC,Columbia,34.0378,-80.9036,-75,America/New_York
USA,SD,Pierre,44.3748,-100.3205,-90,America/Chicago
USA,TN,Nashville,36.1715,-86.7842,-90,America/Chicago
USA,TX,Austin,30.3005,-97.7522,-90,America/Chicago
USA,UT,Salt Lake City,40.7776,-111.9311,-105,America/Denver
USA,VA,Richmond,37.5295,-77.4756,-75,America/New_York
USA,VT,Montpelier,44.2659,-72.5717,-75,America/New_York
USA,WA,Olympia,47.0417,-122.8959,-120,America/Los_Angeles
USA,WI,Madison,43.0822,-89.393,-90,America/Chicago
USA,WV,Charleston,32.8168,-79.9687,-75,America/New_York
USA,WY,Cheyenne,41.135,-104.7902,-105,America/Denver
Uganda,,Kampala,0.3136,32.5811,45,Europe/Moscow
Ukraine,,Kyiv,50.45,30.5233,30,Europe/Athens
United Kingdom,,London,51.5072,-0.1275,0,Europe/London
Uruguay,,Montevideo,-34.9056,-56.1842,-45,America/Sao_Paulo
Uzbekistan,,Tashkent,41.3111,69.2797,75,Asia/Karachi
Venezuela,,Caracas,10.4806,-66.9036,-60,America/Caracas
Vietnam,,Hanoi,21,105.85,105,Asia/Jakarta
Yemen,,Sanaa,15.3483,44.2064,45,Europe/Moscow
Zambia,,Lusaka,-15.4167,28.2833,30,Africa/Johannesburg
Zimbabwe,,Harare,-17.8292,31.0522,30,Africa/Johannesburg
